"","studentid","term","year","midterm"
"2501",267510,"Fall",2022,84.24
"2502",224537,"Winter",2017,86.13
"2503",239425,"Spring",2020,76.97
"2504",228759,"Summer",2017,70.28
"2505",204373,"Fall",2020,68.31
"2506",254538,"Winter",2017,92.76
"2507",262842,"Spring",2022,79.14
"2508",249932,"Summer",2012,105.36
"2509",240182,"Fall",2013,94.53
"2510",236296,"Winter",2020,85.05
"2511",227242,"Spring",2017,81.22
"2512",263790,"Summer",2017,95.08
"2513",262426,"Fall",2019,95.73
"2514",224431,"Winter",2021,92.36
"2515",213269,"Spring",2015,77.46
"2516",243428,"Summer",2015,102.17
"2517",202685,"Fall",2022,89.3
"2518",220289,"Winter",2015,57.21
"2519",256781,"Spring",2014,76.53
"2520",245745,"Summer",2014,78.74
"2521",256081,"Fall",2016,81.59
"2522",265560,"Winter",2021,56.37
"2523",229418,"Spring",2016,70.98
"2524",230605,"Summer",2020,88.86
"2525",260919,"Fall",2019,82.66
"2526",236885,"Winter",2017,58.45
"2527",294950,"Spring",2017,78.88
"2528",230715,"Summer",2019,75.82
"2529",299474,"Fall",2012,66.86
"2530",261305,"Winter",2019,71.53
"2531",209474,"Spring",2016,90.24
"2532",270850,"Summer",2014,69.4
"2533",252404,"Fall",2022,79.1
"2534",216329,"Winter",2015,79.94
"2535",223163,"Spring",2013,76.52
"2536",294977,"Summer",2018,85.57
"2537",295789,"Fall",2018,94.13
"2538",204683,"Winter",2019,88.9
"2539",204118,"Spring",2018,72.71
"2540",215849,"Summer",2013,77.62
"2541",236132,"Fall",2016,99.54
"2542",263759,"Winter",2020,57.59
"2543",278340,"Spring",2014,66.52
"2544",205990,"Summer",2017,70.41
"2545",259668,"Fall",2020,89.3
"2546",281500,"Winter",2022,73.27
"2547",224399,"Spring",2021,72.15
"2548",298995,"Summer",2014,67.5
"2549",210709,"Fall",2018,84.36
"2550",222540,"Winter",2017,72.68
"2551",261631,"Spring",2017,69
"2552",235141,"Summer",2020,83.66
"2553",270792,"Fall",2016,83.71
"2554",269813,"Winter",2015,74.4
"2555",227416,"Spring",2016,79.33
"2556",293861,"Summer",2020,95.07
"2557",235997,"Fall",2021,102.22
"2558",295245,"Winter",2014,73.54
"2559",217348,"Spring",2020,75.65
"2560",213410,"Summer",2020,77.24
"2561",250294,"Fall",2017,86.49
"2562",277669,"Winter",2017,79.98
"2563",281993,"Spring",2018,82.63
"2564",203816,"Summer",2016,86.08
"2565",264159,"Fall",2019,83.45
"2566",220009,"Winter",2014,83.04
"2567",234769,"Spring",2022,74.65
"2568",295023,"Summer",2018,76.16
"2569",282553,"Fall",2016,56.61
"2570",266474,"Winter",2016,74.64
"2571",246900,"Spring",2018,70.29
"2572",200069,"Summer",2015,59.98
"2573",270027,"Fall",2015,88.6
"2574",251522,"Winter",2019,73.4
"2575",252582,"Spring",2019,77.02
"2576",228232,"Summer",2018,79.09
"2577",215725,"Fall",2016,84.01
"2578",248752,"Winter",2022,68.66
"2579",234421,"Spring",2013,94.08
"2580",269407,"Summer",2021,72.68
"2581",289020,"Fall",2020,79.66
"2582",254518,"Winter",2021,71.96
"2583",294823,"Spring",2019,79.2
"2584",215987,"Summer",2012,103.75
"2585",250415,"Fall",2016,90
"2586",293862,"Winter",2021,88.46
"2587",207734,"Spring",2014,74.07
"2588",213800,"Summer",2015,80.96
"2589",240401,"Fall",2017,64.62
"2590",213518,"Winter",2015,88.63
"2591",214901,"Spring",2014,78.29
"2592",276616,"Summer",2021,82.86
"2593",254541,"Fall",2015,83.63
"2594",202108,"Winter",2012,81.28
"2595",255101,"Spring",2020,84.82
"2596",211964,"Summer",2014,77.08
"2597",233147,"Fall",2020,72.6
"2598",222986,"Winter",2017,71.1
"2599",223304,"Spring",2016,82.59
"2600",218873,"Summer",2013,94.3
"2601",297855,"Fall",2014,78.75
"2602",224097,"Winter",2020,63.03
"2603",232012,"Spring",2012,78.1
"2604",230525,"Summer",2019,84.23
"2605",237869,"Fall",2019,102.14
"2606",237531,"Winter",2020,73.35
"2607",285140,"Spring",2017,72.12
"2608",262828,"Summer",2021,75.45
"2609",214541,"Fall",2020,81.07
"2610",214018,"Winter",2017,79.85
"2611",252693,"Spring",2015,65.46
"2612",290216,"Summer",2012,78.9
"2613",279610,"Fall",2016,94.36
"2614",284617,"Winter",2014,54.64
"2615",254374,"Spring",2015,88.29
"2616",274775,"Summer",2019,78
"2617",224862,"Fall",2017,73.12
"2618",244873,"Winter",2017,73.27
"2619",225449,"Spring",2014,86.24
"2620",208528,"Summer",2017,71.96
"2621",265765,"Fall",2014,75.73
"2622",218014,"Winter",2020,95.78
"2623",232817,"Spring",2020,79.02
"2624",261968,"Summer",2015,84.2
"2625",293251,"Fall",2016,60.09
"2626",207586,"Winter",2012,61.66
"2627",270453,"Spring",2020,87.16
"2628",294034,"Summer",2012,70.04
"2629",239374,"Fall",2017,102.65
"2630",242949,"Winter",2021,61.95
"2631",213662,"Spring",2021,62.93
"2632",244875,"Summer",2017,78.92
"2633",201555,"Fall",2017,77.26
"2634",251070,"Winter",2021,81.11
"2635",204724,"Spring",2021,68.07
"2636",268044,"Summer",2019,72.47
"2637",265217,"Fall",2018,87.64
"2638",227991,"Winter",2014,71.53
"2639",236969,"Spring",2020,71.39
"2640",282565,"Summer",2013,83.42
"2641",279762,"Fall",2021,86.41
"2642",217993,"Winter",2020,93.07
"2643",262213,"Spring",2018,68.59
"2644",211281,"Summer",2017,69.15
"2645",205019,"Fall",2016,77.83
"2646",294858,"Winter",2015,80.22
"2647",215624,"Spring",2017,81.79
"2648",247155,"Summer",2015,77.52
"2649",201094,"Fall",2021,74.36
"2650",279979,"Winter",2018,76.29
"2651",262348,"Spring",2018,68.85
"2652",247376,"Summer",2020,71.93
"2653",266254,"Fall",2016,71.1
"2654",247168,"Winter",2012,78.92
"2655",247690,"Spring",2019,79.12
"2656",244374,"Summer",2014,94.17
"2657",277163,"Fall",2020,90.25
"2658",212808,"Winter",2020,75.58
"2659",209287,"Spring",2013,61.76
"2660",233747,"Summer",2013,78.13
"2661",222620,"Fall",2022,85.72
"2662",259073,"Winter",2015,86.68
"2663",245558,"Spring",2013,71.89
"2664",201423,"Summer",2019,66.81
"2665",249784,"Fall",2014,74.94
"2666",295227,"Winter",2014,70.7
"2667",223494,"Spring",2022,74.22
"2668",217730,"Summer",2020,76.9
"2669",296523,"Fall",2017,74.76
"2670",265942,"Winter",2019,66.49
"2671",239575,"Spring",2019,76.56
"2672",267407,"Summer",2014,81.33
"2673",246676,"Fall",2018,75.61
"2674",266240,"Winter",2016,84.84
"2675",217773,"Spring",2017,80.93
"2676",253172,"Summer",2022,86.87
"2677",297913,"Fall",2019,74.1
"2678",232318,"Winter",2016,63.97
"2679",213876,"Spring",2020,79.05
"2680",253063,"Summer",2020,65.64
"2681",265298,"Fall",2022,81.02
"2682",287593,"Winter",2021,74.48
"2683",254836,"Spring",2013,76.61
"2684",283687,"Summer",2021,77.53
"2685",223958,"Fall",2021,80.7
"2686",221818,"Winter",2016,81.41
"2687",259025,"Spring",2022,70.15
"2688",217173,"Summer",2015,67.65
"2689",200071,"Fall",2019,75.68
"2690",213902,"Winter",2020,78.96
"2691",286947,"Spring",2017,58.27
"2692",297209,"Summer",2015,70.18
"2693",206670,"Fall",2014,80.08
"2694",297582,"Winter",2018,57.97
"2695",234736,"Spring",2020,98.16
"2696",230002,"Summer",2017,83.94
"2697",258013,"Fall",2016,74.67
"2698",274411,"Winter",2015,55.87
"2699",222592,"Spring",2018,82.59
"2700",295165,"Summer",2014,82.99
"2701",233784,"Fall",2012,81.85
"2702",268684,"Winter",2017,79.58
"2703",240942,"Spring",2015,83.02
"2704",231499,"Summer",2017,82.96
"2705",273025,"Fall",2019,95.87
"2706",283880,"Winter",2020,81.61
"2707",275104,"Spring",2018,64.54
"2708",241076,"Summer",2016,79.51
"2709",254496,"Fall",2022,102.14
"2710",225034,"Winter",2019,76.89
"2711",294264,"Spring",2015,82.74
"2712",243241,"Summer",2016,73.6
"2713",289235,"Fall",2019,80.61
"2714",238034,"Winter",2017,84.09
"2715",222798,"Spring",2021,67.87
"2716",267986,"Summer",2018,67.18
"2717",244107,"Fall",2019,92.79
"2718",285298,"Winter",2019,73.91
"2719",294315,"Spring",2021,58.37
"2720",224112,"Summer",2022,79.2
"2721",272609,"Fall",2020,62.68
"2722",287976,"Winter",2018,70.12
"2723",253899,"Spring",2021,68.91
"2724",294601,"Summer",2019,79.02
"2725",229274,"Fall",2012,55.68
"2726",288951,"Winter",2017,74.88
"2727",217165,"Spring",2015,72.93
"2728",295649,"Summer",2021,64.98
"2729",284193,"Fall",2020,68.9
"2730",240611,"Winter",2017,76.29
"2731",206844,"Spring",2013,68
"2732",275453,"Summer",2017,83.22
"2733",205678,"Fall",2020,80.24
"2734",294405,"Winter",2022,72.78
"2735",264284,"Spring",2013,92.35
"2736",220313,"Summer",2021,88.93
"2737",215195,"Fall",2015,92.15
"2738",203568,"Winter",2014,68.63
"2739",213097,"Spring",2022,72.32
"2740",244435,"Summer",2016,87.04
"2741",232769,"Fall",2018,78.17
"2742",288153,"Winter",2015,62.45
"2743",291669,"Spring",2020,86.58
"2744",278218,"Summer",2015,74.89
"2745",215233,"Fall",2013,88.89
"2746",232388,"Winter",2020,73.26
"2747",281987,"Spring",2014,79.33
"2748",209146,"Summer",2015,86.33
"2749",202777,"Fall",2014,81.09
"2750",237536,"Winter",2012,83.39
"2751",211465,"Spring",2017,82.51
"2752",258037,"Summer",2020,89.84
"2753",205668,"Fall",2014,94.54
"2754",211920,"Winter",2017,84.74
"2755",272646,"Spring",2017,69.6
"2756",259285,"Summer",2020,83.87
"2757",210744,"Fall",2020,94.71
"2758",250104,"Winter",2020,82.68
"2759",248492,"Spring",2017,89.22
"2760",288056,"Summer",2014,78.19
"2761",282230,"Fall",2017,80.46
"2762",271758,"Winter",2020,58.41
"2763",273608,"Spring",2017,81.17
"2764",288064,"Summer",2013,61.7
"2765",203960,"Fall",2016,73.35
"2766",242309,"Winter",2015,68.88
"2767",226858,"Spring",2015,63.12
"2768",241442,"Summer",2013,80.68
"2769",252948,"Fall",2012,75.85
"2770",267737,"Winter",2019,70.8
"2771",280570,"Spring",2015,72.97
"2772",212797,"Summer",2015,64.22
"2773",218302,"Fall",2014,68.48
"2774",227432,"Winter",2017,81.87
"2775",234335,"Spring",2019,78.44
"2776",260445,"Summer",2020,73.25
"2777",292872,"Fall",2017,95.95
"2778",249642,"Winter",2019,62.82
"2779",265812,"Spring",2012,90.6
"2780",231449,"Summer",2016,73.62
"2781",290505,"Fall",2015,87.57
"2782",255753,"Winter",2017,79.82
"2783",244078,"Spring",2021,86.97
"2784",225233,"Summer",2015,69.31
"2785",249246,"Fall",2017,71.52
"2786",212334,"Winter",2014,77.33
"2787",277271,"Spring",2018,58.36
"2788",233076,"Summer",2017,64.08
"2789",258688,"Fall",2015,94.39
"2790",204526,"Winter",2013,80.18
"2791",225681,"Spring",2013,81.73
"2792",266317,"Summer",2020,71.03
"2793",226147,"Fall",2021,81.72
"2794",204755,"Winter",2016,77.06
"2795",289328,"Spring",2014,92.23
"2796",277022,"Summer",2021,76.19
"2797",264017,"Fall",2012,88.37
"2798",249171,"Winter",2019,69.98
"2799",237496,"Spring",2018,69.09
"2800",251732,"Summer",2022,69.69
"2801",293685,"Fall",2020,86.41
"2802",206733,"Winter",2021,62.55
"2803",272426,"Spring",2017,83.88
"2804",291625,"Summer",2013,86.35
"2805",217852,"Fall",2022,84.62
"2806",238644,"Winter",2022,74.97
"2807",219871,"Spring",2016,71.75
"2808",222026,"Summer",2021,76.24
"2809",290600,"Fall",2015,83.73
"2810",263056,"Winter",2022,77.86
"2811",255893,"Spring",2013,79.94
"2812",276114,"Summer",2020,67.84
"2813",299858,"Fall",2016,97.9
"2814",293958,"Winter",2022,75.76
"2815",281316,"Spring",2022,77.18
"2816",224399,"Summer",2021,66.45
"2817",213693,"Fall",2016,80.1
"2818",278160,"Winter",2021,76.62
"2819",273319,"Spring",2022,80.76
"2820",297605,"Summer",2015,77.39
"2821",282808,"Fall",2014,99.74
"2822",276853,"Winter",2020,89.7
"2823",256680,"Spring",2013,65.7
"2824",232110,"Summer",2015,59.24
"2825",266001,"Fall",2013,100.58
"2826",273967,"Winter",2016,84.68
"2827",273858,"Spring",2016,91.2
"2828",206892,"Summer",2015,66.81
"2829",272996,"Fall",2013,72.01
"2830",217149,"Winter",2017,76.06
"2831",200486,"Spring",2019,74.63
"2832",204211,"Summer",2015,106.72
"2833",257684,"Fall",2013,81.52
"2834",240343,"Winter",2012,61.27
"2835",277271,"Spring",2013,66.6
"2836",237743,"Summer",2015,90.05
"2837",258232,"Fall",2018,77.56
"2838",263124,"Winter",2019,69.9
"2839",214193,"Spring",2012,83.97
"2840",224177,"Summer",2020,95.88
"2841",252341,"Fall",2017,112.34
"2842",203164,"Winter",2020,93.44
"2843",226187,"Spring",2013,68.49
"2844",249832,"Summer",2013,89.13
"2845",204769,"Fall",2019,82.43
"2846",205609,"Winter",2019,84.51
"2847",223757,"Spring",2012,77.77
"2848",269079,"Summer",2016,91.68
"2849",258579,"Fall",2017,79.81
"2850",237405,"Winter",2018,67.4
"2851",274871,"Spring",2018,69.73
"2852",224147,"Summer",2020,77.3
"2853",254622,"Fall",2021,83.75
"2854",227584,"Winter",2018,83.55
"2855",206204,"Spring",2019,78.46
"2856",244400,"Summer",2019,86.57
"2857",283782,"Fall",2020,89.92
"2858",226499,"Winter",2016,76.84
"2859",259879,"Spring",2021,75
"2860",287636,"Summer",2016,88.34
"2861",280214,"Fall",2014,66.39
"2862",246411,"Winter",2015,81.68
"2863",295159,"Spring",2018,75.56
"2864",238371,"Summer",2014,75.31
"2865",292381,"Fall",2019,84.19
"2866",210132,"Winter",2020,70.88
"2867",234820,"Spring",2014,89.62
"2868",262595,"Summer",2018,73.97
"2869",275911,"Fall",2013,73.03
"2870",291737,"Winter",2019,69.82
"2871",204069,"Spring",2021,71.83
"2872",243324,"Summer",2017,76.53
"2873",268400,"Fall",2015,53.57
"2874",286354,"Winter",2022,61.4
"2875",235883,"Spring",2022,81.99
"2876",251092,"Summer",2015,77.7
"2877",222526,"Fall",2017,99.23
"2878",261626,"Winter",2017,77.23
"2879",283553,"Spring",2018,83.9
"2880",286953,"Summer",2012,82.35
"2881",233195,"Fall",2015,81.95
"2882",297473,"Winter",2017,70.14
"2883",287502,"Spring",2018,73.71
"2884",276740,"Summer",2020,75.22
"2885",261274,"Fall",2012,73.36
"2886",260936,"Winter",2013,63.42
"2887",249393,"Spring",2019,84.09
"2888",268533,"Summer",2019,67.56
"2889",276517,"Fall",2012,90.65
"2890",284941,"Winter",2020,82.2
"2891",220513,"Spring",2016,67.69
"2892",244478,"Summer",2017,64.3
"2893",249507,"Fall",2014,81.37
"2894",216914,"Winter",2013,84.44
"2895",259741,"Spring",2018,73.11
"2896",218884,"Summer",2015,86.64
"2897",217280,"Fall",2014,89.02
"2898",293723,"Winter",2018,69.39
"2899",226980,"Spring",2013,84
"2900",264525,"Summer",2015,83.59
"2901",248896,"Fall",2020,79.83
"2902",251296,"Winter",2015,75.26
"2903",232535,"Spring",2013,68.51
"2904",223601,"Summer",2019,85.52
"2905",205040,"Fall",2014,83.03
"2906",279839,"Winter",2019,73.69
"2907",202855,"Spring",2013,61.35
"2908",285417,"Summer",2016,66.24
"2909",204575,"Fall",2018,73.92
"2910",203190,"Winter",2014,65.61
"2911",260055,"Spring",2013,80.73
"2912",219872,"Summer",2022,98.04
"2913",209685,"Fall",2013,67.47
"2914",259600,"Winter",2017,74.19
"2915",206483,"Spring",2016,91.31
"2916",295993,"Summer",2018,88.4
"2917",280610,"Fall",2018,102.63
"2918",208394,"Winter",2013,65.28
"2919",270748,"Spring",2016,79.27
"2920",238086,"Summer",2018,65.9
"2921",262522,"Fall",2020,77.67
"2922",252600,"Winter",2017,72.76
"2923",247419,"Spring",2014,79.88
"2924",239886,"Summer",2013,78.62
"2925",264919,"Fall",2021,93.2
"2926",249064,"Winter",2013,67.42
"2927",285230,"Spring",2014,70.3
"2928",245051,"Summer",2014,98.75
"2929",225814,"Fall",2014,76.26
"2930",287182,"Winter",2017,80.15
"2931",286214,"Spring",2019,67.33
"2932",210760,"Summer",2015,66.84
"2933",242298,"Fall",2019,86.13
"2934",211456,"Winter",2017,72.45
"2935",287895,"Spring",2021,75.05
"2936",235160,"Summer",2014,91.08
"2937",299690,"Fall",2014,98.81
"2938",283047,"Winter",2017,80.32
"2939",298315,"Spring",2015,88.49
"2940",220825,"Summer",2021,85.01
"2941",250397,"Fall",2015,77.23
"2942",296368,"Winter",2015,78.3
"2943",208072,"Spring",2018,55.1
"2944",252379,"Summer",2019,84.09
"2945",220636,"Fall",2019,63
"2946",270989,"Winter",2022,73.57
"2947",273557,"Spring",2013,73.21
"2948",277414,"Summer",2019,61.79
"2949",281700,"Fall",2021,84.09
"2950",219208,"Winter",2019,82.39
"2951",295983,"Spring",2022,71.64
"2952",282365,"Summer",2018,73.65
"2953",285355,"Fall",2015,90.03
"2954",225494,"Winter",2012,63.99
"2955",220508,"Spring",2014,70.49
"2956",230814,"Summer",2015,79.09
"2957",236330,"Fall",2017,86.45
"2958",202419,"Winter",2019,77.92
"2959",203807,"Spring",2020,73.88
"2960",231492,"Summer",2013,74.91
"2961",263348,"Fall",2021,96.34
"2962",247191,"Winter",2020,62.29
"2963",218830,"Spring",2015,87.81
"2964",234451,"Summer",2015,70.05
"2965",220943,"Fall",2019,65.23
"2966",282538,"Winter",2021,75.76
"2967",226692,"Spring",2017,62.19
"2968",217458,"Summer",2013,71.99
"2969",203704,"Fall",2015,71.92
"2970",233915,"Winter",2020,70.94
"2971",265823,"Spring",2018,67.13
"2972",285749,"Summer",2015,85.83
"2973",277945,"Fall",2021,103.61
"2974",214928,"Winter",2020,59.69
"2975",242513,"Spring",2014,68.41
"2976",235383,"Summer",2021,64.57
"2977",291013,"Fall",2015,95.46
"2978",276143,"Winter",2018,76.86
"2979",235864,"Spring",2016,66.23
"2980",279643,"Summer",2018,74.44
"2981",248183,"Fall",2015,83.22
"2982",255993,"Winter",2015,74.68
"2983",280289,"Spring",2015,63.3
"2984",240363,"Summer",2013,72.84
"2985",258798,"Fall",2014,86.84
"2986",249710,"Winter",2020,65.05
"2987",266761,"Spring",2018,98.35
"2988",246180,"Summer",2014,87.53
"2989",242367,"Fall",2016,100.17
"2990",291802,"Winter",2017,86.5
"2991",268179,"Spring",2022,59.22
"2992",278892,"Summer",2018,91.17
"2993",287943,"Fall",2020,91.73
"2994",280292,"Winter",2012,86.78
"2995",228783,"Spring",2021,77.68
"2996",215643,"Summer",2017,109.01
"2997",294101,"Fall",2018,80.03
"2998",292131,"Winter",2015,87.41
"2999",220295,"Spring",2013,68.51
"3000",227134,"Summer",2018,87.57
"3001",259224,"Fall",2020,81.31
"3002",267578,"Winter",2019,66.57
"3003",235813,"Spring",2018,93.31
"3004",272693,"Summer",2016,90.86
"3005",267210,"Fall",2020,79.01
"3006",273547,"Winter",2017,74.06
"3007",268421,"Spring",2020,65.96
"3008",257399,"Summer",2018,67.11
"3009",240253,"Fall",2014,88.77
"3010",208500,"Winter",2022,78.63
"3011",204368,"Spring",2018,73.42
"3012",286071,"Summer",2012,83.7
"3013",248043,"Fall",2016,95.69
"3014",213780,"Winter",2016,80.39
"3015",244899,"Spring",2017,73.52
"3016",267074,"Summer",2018,68.69
"3017",299005,"Fall",2018,102.43
"3018",201820,"Winter",2017,70.55
"3019",260507,"Spring",2016,85.25
"3020",244855,"Summer",2015,96.05
"3021",237660,"Fall",2014,77.68
"3022",227155,"Winter",2020,54.12
"3023",260744,"Spring",2021,82.34
"3024",218065,"Summer",2014,81.52
"3025",273205,"Fall",2020,102.72
"3026",292782,"Winter",2014,62.25
"3027",273957,"Spring",2016,102.54
"3028",246978,"Summer",2015,80.34
"3029",208711,"Fall",2014,66.65
"3030",265359,"Winter",2012,70.18
"3031",275754,"Spring",2016,70.23
"3032",208741,"Summer",2019,79.26
"3033",202894,"Fall",2013,84.04
"3034",227430,"Winter",2015,72.51
"3035",203097,"Spring",2014,93.72
"3036",220670,"Summer",2016,88.93
"3037",206734,"Fall",2018,74.14
"3038",291178,"Winter",2021,60.95
"3039",288763,"Spring",2014,77.11
"3040",270324,"Summer",2017,76.21
"3041",209618,"Fall",2021,91
"3042",231077,"Winter",2020,72.89
"3043",231772,"Spring",2020,73.44
"3044",289447,"Summer",2019,75.54
"3045",238887,"Fall",2015,88.09
"3046",272410,"Winter",2018,79.24
"3047",263512,"Spring",2014,67.1
"3048",211364,"Summer",2017,62.07
"3049",287410,"Fall",2018,81.81
"3050",218106,"Winter",2013,83.6
"3051",204167,"Spring",2013,92.01
"3052",251486,"Summer",2021,70.43
"3053",248787,"Fall",2015,98.24
"3054",224649,"Winter",2015,53.61
"3055",250025,"Spring",2019,66.66
"3056",273089,"Summer",2021,81.34
"3057",285986,"Fall",2016,77.46
"3058",279754,"Winter",2019,65.05
"3059",244294,"Spring",2013,86.75
"3060",240655,"Summer",2018,85.91
"3061",236957,"Fall",2016,76.47
"3062",251092,"Winter",2022,63.59
"3063",271545,"Spring",2018,81.53
"3064",280611,"Summer",2019,73.96
"3065",282297,"Fall",2013,84.98
"3066",230340,"Winter",2016,80.77
"3067",202013,"Spring",2019,68.4
"3068",225244,"Summer",2018,65.83
"3069",282338,"Fall",2021,91.27
"3070",270486,"Winter",2014,86.27
"3071",243445,"Spring",2021,76.45
"3072",223704,"Summer",2015,78.55
"3073",251610,"Fall",2014,75.47
"3074",285016,"Winter",2014,79.02
"3075",244370,"Spring",2015,75.13
"3076",240314,"Summer",2015,61.09
"3077",225983,"Fall",2017,92.85
"3078",234775,"Winter",2016,71.84
"3079",288478,"Spring",2013,84.58
"3080",263277,"Summer",2017,77.64
"3081",233828,"Fall",2014,98.59
"3082",286733,"Winter",2020,65.7
"3083",200885,"Spring",2016,83.35
"3084",267987,"Summer",2012,76.85
"3085",295894,"Fall",2013,82.64
"3086",247316,"Winter",2021,57.19
"3087",284947,"Spring",2021,76.85
"3088",252240,"Summer",2019,75.01
"3089",227463,"Fall",2020,71.3
"3090",249155,"Winter",2020,63.27
"3091",239465,"Spring",2018,79.38
"3092",284273,"Summer",2022,92.9
"3093",231933,"Fall",2013,72.64
"3094",273821,"Winter",2014,67.26
"3095",245621,"Spring",2012,62.48
"3096",297495,"Summer",2015,58.66
"3097",257272,"Fall",2014,86.88
"3098",214759,"Winter",2019,78.62
"3099",276133,"Spring",2015,84.75
"3100",238814,"Summer",2017,74.51
"3101",253955,"Fall",2015,79.32
"3102",265180,"Winter",2018,76.62
"3103",268623,"Spring",2019,76.82
"3104",284708,"Summer",2019,69.23
"3105",220456,"Fall",2020,83.67
"3106",256069,"Winter",2018,69.79
"3107",264714,"Spring",2018,76.45
"3108",282140,"Summer",2012,96.92
"3109",261263,"Fall",2018,74.95
"3110",298864,"Winter",2015,86.84
"3111",267113,"Spring",2015,80.5
"3112",269196,"Summer",2017,76.5
"3113",274057,"Fall",2017,74.25
"3114",244967,"Winter",2014,59.8
"3115",224681,"Spring",2014,77.33
"3116",263014,"Summer",2017,58.59
"3117",233951,"Fall",2021,84.9
"3118",216539,"Winter",2019,75.17
"3119",207558,"Spring",2013,78.45
"3120",226461,"Summer",2013,82.61
"3121",238663,"Fall",2019,82.39
"3122",201206,"Winter",2012,62.86
"3123",295783,"Spring",2021,69.96
"3124",287547,"Summer",2019,95.67
"3125",202058,"Fall",2018,76.11
"3126",258401,"Winter",2021,56.5
"3127",297589,"Spring",2015,76.17
"3128",201435,"Summer",2017,87.3
"3129",249665,"Fall",2014,79.63
"3130",267348,"Winter",2021,72.94
"3131",293005,"Spring",2020,68.41
"3132",279009,"Summer",2021,66.37
"3133",243925,"Fall",2013,85.62
"3134",224759,"Winter",2017,72.11
"3135",278245,"Spring",2019,71.36
"3136",220961,"Summer",2012,86.35
"3137",223936,"Fall",2012,106.93
"3138",242242,"Winter",2017,89.39
"3139",202129,"Spring",2013,71.09
"3140",292607,"Summer",2019,73.6
"3141",277429,"Fall",2022,60.25
"3142",203069,"Winter",2016,83.17
"3143",233719,"Spring",2018,77.89
"3144",206479,"Summer",2012,83.62
"3145",259138,"Fall",2018,88.5
"3146",217459,"Winter",2012,84.21
"3147",249756,"Spring",2014,68.08
"3148",219438,"Summer",2014,78.1
"3149",203153,"Fall",2014,85.45
"3150",248199,"Winter",2017,74.77
"3151",207729,"Spring",2012,71.07
"3152",257750,"Summer",2019,57.11
"3153",249188,"Fall",2019,85.67
"3154",292647,"Winter",2022,82.96
"3155",297987,"Spring",2016,86.24
"3156",242599,"Summer",2018,62.45
"3157",287800,"Fall",2017,82.21
"3158",244122,"Winter",2020,73.76
"3159",266613,"Spring",2018,80.24
"3160",252522,"Summer",2018,94.33
"3161",210083,"Fall",2013,72.84
"3162",286184,"Winter",2021,90.39
"3163",244444,"Spring",2022,52.69
"3164",234921,"Summer",2016,63.27
"3165",257916,"Fall",2014,84.06
"3166",259715,"Winter",2017,80.04
"3167",277900,"Spring",2015,73.72
"3168",243282,"Summer",2017,92.38
"3169",249930,"Fall",2014,112.1
"3170",240260,"Winter",2020,75.24
"3171",273561,"Spring",2014,88.09
"3172",202748,"Summer",2017,100.81
"3173",278496,"Fall",2015,89.61
"3174",248156,"Winter",2017,65.37
"3175",233388,"Spring",2017,73.8
"3176",221823,"Summer",2022,79.39
"3177",282098,"Fall",2019,89.39
"3178",220727,"Winter",2015,71.56
"3179",251789,"Spring",2016,81.91
"3180",282216,"Summer",2015,89.68
"3181",272414,"Fall",2014,84.66
"3182",276466,"Winter",2021,62.27
"3183",208722,"Spring",2018,81.53
"3184",288027,"Summer",2013,77.49
"3185",280162,"Fall",2018,93.97
"3186",266833,"Winter",2014,77.38
"3187",289605,"Spring",2016,93.1
"3188",236437,"Summer",2013,82.09
"3189",278396,"Fall",2014,75.27
"3190",269666,"Winter",2015,82.83
"3191",284849,"Spring",2017,79.21
"3192",238928,"Summer",2013,84.06
"3193",244165,"Fall",2015,75.31
"3194",282959,"Winter",2013,70.05
"3195",213615,"Spring",2022,78.99
"3196",205382,"Summer",2013,70.77
"3197",236486,"Fall",2016,78.59
"3198",274617,"Winter",2014,82.25
"3199",233674,"Spring",2019,90.6
"3200",296248,"Summer",2020,78.92
"3201",230379,"Fall",2019,70.52
"3202",240516,"Winter",2015,50.26
"3203",232237,"Spring",2021,62.61
"3204",257399,"Summer",2019,88.24
"3205",268334,"Fall",2020,85.36
"3206",268828,"Winter",2019,74.55
"3207",244250,"Spring",2017,73.8
"3208",284308,"Summer",2019,85.01
"3209",248495,"Fall",2014,74.98
"3210",264817,"Winter",2015,71.69
"3211",297115,"Spring",2012,74.74
"3212",297131,"Summer",2021,93.94
"3213",261483,"Fall",2016,87.52
"3214",219525,"Winter",2021,63.89
"3215",215736,"Spring",2021,74.32
"3216",256306,"Summer",2021,89.84
"3217",288540,"Fall",2020,74.63
"3218",247268,"Winter",2016,81.56
"3219",260484,"Spring",2014,78.76
"3220",206520,"Summer",2018,70.77
"3221",269901,"Fall",2012,86.74
"3222",218638,"Winter",2019,62.21
"3223",213529,"Spring",2017,76.94
"3224",226423,"Summer",2017,95.67
"3225",254339,"Fall",2021,68.16
"3226",233284,"Winter",2012,102.23
"3227",249076,"Spring",2013,70.85
"3228",247678,"Summer",2018,88.43
"3229",223324,"Fall",2013,71.5
"3230",244146,"Winter",2014,81.5
"3231",221739,"Spring",2016,68.04
"3232",286209,"Summer",2015,99.88
"3233",272147,"Fall",2020,99.31
"3234",200976,"Winter",2015,86.15
"3235",216737,"Spring",2020,66.54
"3236",294880,"Summer",2017,75.66
